Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
2.625,97.825,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH SINGKIL,SIMPANG KIRI,HUTAN,SM RAWA SINGKIL
5.25,95.56,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH BESAR,KOTA JANTHO,CUCUM,
-0.02,102.96,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,INDRAGIRI HILIR,KECAMATAN GAUNG,BATANG TUMU,
1.18,99.69,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIBUAL BUALI,
1.41,98.92,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI SELATAN,BATANG TORU,HUTA RAJA,
5.533,95.673,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH BESAR,SEULIMEUM,UJONG KEUPULA,
4.7,97.09,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,BENER MERIAH,SYIAH UTAMA,RUSIP,
1.61,101.535,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,DUMAI,KECAMATAN MEDANG KAMPAI,SUKAJADI,
2.68,116.32,NOAA19,6:30:09 AM,20161031,ASMC,KALIMANTAN UTARA,BULUNGAN,PESO,LONG PELBAN,
0.43,100.37,NOAA19,8:06:25 AM,20161031,ASMC,RIAU,ROKAN HULU,KECAMATAN ROKAN IV KOTO,CIPANG KIRI HILIR,
4.07,97.375,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,GAYOLUES,PINDING,GAJAH,
4.467,96.967,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH TENGAH,LINGE ISAQ,UMANG,
1.8,98.93,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI UTARA,ADIANKOTING,PAGARAN PISANG,
-4.535,105.415,NOAA19,8:11:04 AM,20161205,ASMC,LAMPUNG,LAMPUNG TENGAH,BANDAR MATARAM,MATARAM UDIK,
-0.51,101.36,NOAA19,8:11:04 AM,20161205,ASMC,RIAU,KUANTAN SINGINGI,KECAMATAN SINGINGI,LOGAS,
-0.86,101.615,NOAA19,8:05:10 AM,20161223,ASMC,SUMATERA BARAT,DHARMASRAYA,KUANTAN MUDIK,PANGKALAN,
